Name,Height,Weight,Reach,W,L,D,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,edad,ufc_bouts,racha,St_Open Stance,St_Orthodox,St_Sideways,St_Southpaw,St_Switch
Joel Sutton,180.0,205.0,180.0,1.0,4.0,1.0,0.0,0,0.0,0,0.0,0,0,0.0,37.0,1,1,False,True,False,False,False
Kit Cope,183.0,170.0,183.0,6.0,6.0,0.0,1.18,52,2.12,35,0.0,0,50,3.5,46.0,1,-1,False,True,False,False,False
Christian Wellisch,188.0,234.0,196.0,8.0,4.0,0.0,3.12,27,3.04,56,1.22,42,45,1.2,48.0,5,-2,False,True,False,False,False
Joe Ellenberger,175.0,155.0,183.0,15.0,1.0,0.0,1.62,47,3.45,48,3.17,40,0,1.1,38.0,2,-1,False,True,False,False,False
Mateusz Gamrot,178.0,155.0,178.0,21.0,2.0,0.0,3.03,51,3.23,60,4.54,31,90,0.2,33.0,7,1,False,False,False,True,False
Jimmy Crute,188.0,205.0,188.0,12.0,2.0,1.0,3.67,55,3.04,45,5.19,64,60,2.3,27.0,7,-2,False,True,False,False,False
Charles McCarthy,178.0,185.0,180.0,10.0,4.0,0.0,0.18,12,4.03,56,2.67,60,0,2.7,43.0,3,-1,False,True,False,False,False
Rhys McKee,188.0,170.0,198.0,10.0,3.0,1.0,6.83,53,11.9,43,0.0,0,20,0.0,28.0,2,-2,False,True,False,False,False
Joshua Burkman,178.0,170.0,183.0,28.0,15.0,0.0,2.69,43,3.13,51,2.53,36,72,0.3,43.0,18,-5,False,True,False,False,False
Hannah Goldy,163.0,115.0,155.0,6.0,2.0,0.0,5.78,46,4.95,51,0.56,18,55,0.3,31.0,4,-1,False,True,False,False,False
Mark Hughes,175.0,205.0,175.0,5.0,2.0,0.0,0.9,47,0.4,42,3.0,50,0,4.5,50.0,1,1,False,False,False,True,False
Chris Dempsey,178.0,185.0,183.0,11.0,4.0,0.0,2.25,32,2.82,65,2.64,23,16,0.0,36.0,4,-2,False,True,False,False,False
Darrel Gholar,173.0,194.0,173.0,5.0,5.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,37.0,1,-1,False,True,False,False,False
Neil Magny,190.0,170.0,203.0,27.0,10.0,0.0,3.59,46,2.25,54,2.4,42,56,0.3,36.0,29,-1,False,True,False,False,False
Michel Prazeres,168.0,170.0,170.0,26.0,3.0,0.0,2.38,47,2.51,57,3.94,36,47,0.6,42.0,14,-2,False,True,False,False,False
Reza Madadi,180.0,155.0,185.0,14.0,5.0,0.0,2.51,46,3.31,66,3.17,33,89,0.5,45.0,7,-2,False,True,False,False,False
Gunnar Nelson,180.0,170.0,183.0,18.0,5.0,1.0,1.84,61,3.0,49,1.9,59,66,1.0,35.0,15,2,False,False,False,False,True
Jeremy Kimball,183.0,205.0,183.0,15.0,7.0,0.0,2.81,46,3.84,49,1.41,20,50,0.0,32.0,4,-2,False,False,False,False,True
Dave Menne,178.0,170.0,178.0,45.0,16.0,2.0,1.84,44,1.99,42,0.46,50,57,2.5,49.0,6,-4,False,True,False,False,False
Pat Audinwood,183.0,155.0,183.0,11.0,1.0,1.0,1.17,12,4.31,41,0.8,50,0,0.0,37.0,2,-2,False,True,False,False,False
